scenario, hostVID, hostLVD, hostFDO, hostSSH, hostVIP, hostcVP, hostcF, hostcLV 
S4sli2noGuaranteesV2Fix10,100.0,100.0,100.0,100.0,100.0,36.0,0.0,16.666666666666664,
S4sli2noGuaranteesV2Fix20,100.0,100.0,100.0,100.0,44.285714285714285,38.0,0.0,0.0,
S4sli2noGuaranteesV2Fix30,88.88888888888889,100.0,100.0,100.0,42.285714285714285,38.0,0.0,0.0,
S4sli2noGuaranteesV2Fix40,12.592592592592592,100.0,100.0,100.0,41.14285714285714,43.0,0.0,0.0,
S4sli2noGuaranteesV2Fix80,0.0,29.72972972972973,0.0,100.0,41.14285714285714,41.0,0.0,0.0,
S4sli2noGuaranteesV2Fix100,0.0,0.0,0.0,100.0,40.85714285714286,43.0,0.0,0.0,
S5sli4noGuaranteesNew5,100.0,100.0,100.0,100.0,100.0,36.0,100.0,27.77777777777778,
S5sli4noGuaranteesNew10,100.0,100.0,100.0,100.0,100.0,42.0,45.0,0.0,
S5sli4noGuarantees20,100.0,100.0,100.0,100.0,49.142857142857146,43.0,0.0,0.0,
S5sli4noGuarantees30,71.11111111111111,100.0,100.0,100.0,42.857142857142854,43.0,0.0,0.0,
S5sli4noGuarantees40,5.185185185185185,100.0,98.33333333333333,100.0,42.0,37.0,0.0,0.0,
S5sli4noGuarantees80,0.0,27.027027027027028,0.0,100.0,37.42857142857143,46.0,0.0,0.0,
S5sli4noGuaranteesNew100,0.0,0.0,0.0,100.0,42.285714285714285,41.0,0.0,0.0,
S6sli2noGuaranteesV25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV210,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV220,84.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV230,0.0,100.0,100.0,100.0,98.28571428571429,95.0,100.0,100.0,
S6sli2noGuaranteesV240,0.0,100.0,98.33333333333333,100.0,40.0,47.0,90.0,100.0,
S6sli2noGuaranteesV280,0.0,24.324324324324326,0.0,100.0,41.14285714285714,38.0,0.0,11.11111111111111,
S6sli2noGuaranteesV2100,0.0,2.7027027027027026,0.0,100.0,42.0,34.0,0.0,0.0,
S7sli4noGuaranteesNew5,100.0,100.0,100.0,100.0,100.0,55.00000000000001,80.0,100.0,
S7sli4noGuarantees10,100.0,100.0,100.0,100.0,100.0,39.0,0.0,16.666666666666664,
S7sli4noGuarantees20,100.0,100.0,100.0,100.0,100.0,36.0,0.0,0.0,
S7sli4noGuarantees30,87.4074074074074,100.0,100.0,100.0,97.71428571428571,38.0,0.0,0.0,
S7sli4noGuarantees40,0.0,100.0,100.0,100.0,44.0,42.0,0.0,0.0,
S7sli4noGuarantees80,0.0,24.324324324324326,0.0,100.0,40.0,42.0,0.0,0.0,
S7sli4noGuarantees100,0.0,0.0,0.0,100.0,42.0,44.0,0.0,0.0,
S8sli8_4prio5,100.0,100.0,100.0,100.0,100.0,51.0,100.0,16.666666666666664,
S8sli8_4prio10,100.0,100.0,100.0,100.0,100.0,51.0,0.0,0.0,
S8sli8_4prio20,100.0,100.0,100.0,100.0,100.0,39.0,0.0,0.0,
S8sli8_4prio30,97.03703703703704,48.64864864864865,100.0,100.0,97.42857142857143,43.0,0.0,0.0,
S8sli8_4prio40,2.2222222222222223,18.91891891891892,100.0,100.0,40.0,45.0,0.0,0.0,
S8sli8_4prio80,0.0,0.0,80.0,100.0,41.14285714285714,40.0,0.0,0.0,
S8sli8_4prio100,0.0,0.0,0.0,100.0,37.142857142857146,33.0,0.0,0.0,
S9sli4_3prio5,100.0,100.0,100.0,100.0,100.0,36.0,100.0,16.666666666666664,
S9sli4_3prio10,100.0,100.0,100.0,100.0,100.0,48.0,35.0,0.0,
S9sli4_3prio20,100.0,100.0,100.0,100.0,45.14285714285714,41.0,0.0,0.0,
S9sli4_3prio30,74.07407407407408,100.0,100.0,100.0,44.0,32.0,0.0,0.0,
